phase,api,version,status,source_url,download_url,destination,error
fase-3,api-resgate-previdencia-e-capitalizacao,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/quote-life-pension-withdrawal.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/quote-life-pension-withdrawal.yaml,open-insurance-apis\fase-3\api-resgate-previdencia-e-capitalizacao\2.0.0\quote-life-pension-withdrawal.yaml,
fase-3,api-resgate-previdencia-e-capitalizacao,1.3.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/quote-life-pension-withdrawal.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/quote-life-pension-withdrawal.yaml,open-insurance-apis\fase-3\api-resgate-previdencia-e-capitalizacao\1.3.0\quote-life-pension-withdrawal.yaml,
fase-3,capitalizacao-pagamento-de-sorteio-e-contratacao,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/quote-capitalization-title.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/quote-capitalization-title.yaml,open-insurance-apis\fase-3\capitalizacao-pagamento-de-sorteio-e-contratacao\2.0.0\quote-capitalization-title.yaml,
fase-3,capitalizacao-pagamento-de-sorteio-e-contratacao,1.9.4,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/f67f6417b63707b9e4f2b98f224d2e47139b85e8/documentation/source/files/swagger/quote-capitalization-title.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/f67f6417b63707b9e4f2b98f224d2e47139b85e8/documentation/source/files/swagger/quote-capitalization-title.yaml,open-insurance-apis\fase-3\capitalizacao-pagamento-de-sorteio-e-contratacao\1.9.4\quote-capitalization-title.yaml,
fase-3,capitalizacao-pagamento-de-sorteio-e-contratacao,1.9.3,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/27d1ee50a4b59fa5c6b67c3a709e3dfdfbe947b0/documentation/source/files/swagger/quote-capitalization-title.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/27d1ee50a4b59fa5c6b67c3a709e3dfdfbe947b0/documentation/source/files/swagger/quote-capitalization-title.yaml,open-insurance-apis\fase-3\capitalizacao-pagamento-de-sorteio-e-contratacao\1.9.3\quote-capitalization-title.yaml,
fase-3,capitalizacao-pagamento-de-sorteio-e-contratacao,1.9.2,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/f8abeda250144d5773fbfac50762fd82d8d77556/documentation/source/files/swagger/quote-capitalization-title.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/f8abeda250144d5773fbfac50762fd82d8d77556/documentation/source/files/swagger/quote-capitalization-title.yaml,open-insurance-apis\fase-3\capitalizacao-pagamento-de-sorteio-e-contratacao\1.9.2\quote-capitalization-title.yaml,
fase-3,capitalizacao-pagamento-de-sorteio-e-contratacao,1.9.1,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/refs/heads/feature/task-SP-393/documentation/source/files/swagger/quote-capitalization-title.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/refs/heads/feature/task-SP-393/documentation/source/files/swagger/quote-capitalization-title.yaml,open-insurance-apis\fase-3\capitalizacao-pagamento-de-sorteio-e-contratacao\1.9.1\quote-capitalization-title.yaml,
fase-3,capitalizacao-pagamento-de-sorteio-e-contratacao,1.10.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/quote-capitalization-title.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/quote-capitalization-title.yaml,open-insurance-apis\fase-3\capitalizacao-pagamento-de-sorteio-e-contratacao\1.10.0\quote-capitalization-title.yaml,
fase-3,claim-notification,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/claim-notification.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/claim-notification.yaml,open-insurance-apis\fase-3\claim-notification\2.0.0\claim-notification.yaml,
fase-3,claim-notification,1.4.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/claim-notification.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/claim-notification.yaml,open-insurance-apis\fase-3\claim-notification\1.4.0\claim-notification.yaml,
fase-3,claim-notification,1.3.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/2f76347b669236ab39c184b68d6e154148f69685/documentation/source/files/swagger/claim-notification.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/2f76347b669236ab39c184b68d6e154148f69685/documentation/source/files/swagger/claim-notification.yaml,open-insurance-apis\fase-3\claim-notification\1.3.0\claim-notification.yaml,
fase-3,claim-notification,1.2.3,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/cafa22ac1e5f164662c8eea254ce69ad12bd1e5c/documentation/source/files/swagger/claim-notification.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/cafa22ac1e5f164662c8eea254ce69ad12bd1e5c/documentation/source/files/swagger/claim-notification.yaml,open-insurance-apis\fase-3\claim-notification\1.2.3\claim-notification.yaml,
fase-3,claim-notification,1.2.2,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/449ed881d56e2340ddda4d87fbfe4b365accf5c2/documentation/source/files/swagger/claim-notification.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/449ed881d56e2340ddda4d87fbfe4b365accf5c2/documentation/source/files/swagger/claim-notification.yaml,open-insurance-apis\fase-3\claim-notification\1.2.2\claim-notification.yaml,
